<<<<<<< HEAD
step,loss
1,9.017057418823242
2,9.01776123046875
3,8.976096153259277
4,9.05235481262207
5,9.020245552062988
6,9.023947715759277
7,9.042061805725098
8,9.036011695861816
9,9.009929656982422
10,8.967437744140625
11,9.006650924682617
12,9.00920295715332
13,9.042712211608887
14,9.03350830078125
15,9.028838157653809
16,9.053756713867188
17,9.00052261352539
18,9.00632095336914
19,8.980508804321289
20,8.991499900817871
21,9.007549285888672
22,8.953414916992188
23,8.98511028289795
24,8.979480743408203
25,8.90170955657959
26,8.927007675170898
27,8.865877151489258
28,8.911499977111816
29,8.917394638061523
30,8.923351287841797
31,8.885719299316406
32,8.872572898864746
33,8.724494934082031
34,8.837162971496582
35,8.787959098815918
36,8.774068832397461
37,8.783256530761719
38,8.718375205993652
39,8.818601608276367
40,8.750597953796387
41,8.695405960083008
42,8.695589065551758
43,8.655536651611328
44,8.70026969909668
45,8.743398666381836
46,8.6082763671875
47,8.716838836669922
48,8.675180435180664
49,8.727762222290039
50,8.707606315612793
51,8.620072364807129
52,8.593481063842773
53,8.690802574157715
54,8.709953308105469
55,8.61512279510498
56,8.680936813354492
57,8.653009414672852
58,8.435115814208984
59,8.4788179397583
60,8.581664085388184
61,8.761341094970703
62,8.49438190460205
63,8.528609275817871
64,8.588118553161621
65,8.553537368774414
66,8.618284225463867
67,8.51578426361084
68,8.462241172790527
69,8.544891357421875
70,8.54780387878418
71,8.453323364257812
72,8.450892448425293
73,8.608022689819336
74,8.38393497467041
75,8.440738677978516
76,8.50112533569336
77,8.497016906738281
78,8.637314796447754
79,8.487326622009277
80,8.467269897460938
81,8.35184097290039
82,8.396206855773926
83,8.351232528686523
84,8.368988037109375
85,8.191588401794434
86,8.44398021697998
87,8.494288444519043
88,8.428948402404785
89,8.459646224975586
90,8.327258110046387
91,8.341154098510742
92,8.439539909362793
93,8.299088478088379
94,8.233184814453125
95,8.399988174438477
96,8.286025047302246
97,8.265954971313477
98,8.352028846740723
99,8.212265968322754
100,8.26301383972168
=======
step,loss
1,9.017057418823242
2,9.01776123046875
3,8.976096153259277
4,9.05235481262207
5,9.020245552062988
6,9.023947715759277
7,9.042061805725098
8,9.036011695861816
9,9.009929656982422
10,8.967437744140625
11,9.006650924682617
12,9.00920295715332
13,9.042712211608887
14,9.03350830078125
15,9.028838157653809
16,9.053756713867188
17,9.00052261352539
18,9.00632095336914
19,8.980508804321289
20,8.991499900817871
21,9.007549285888672
22,8.953414916992188
23,8.98511028289795
24,8.979480743408203
25,8.90170955657959
26,8.927007675170898
27,8.865877151489258
28,8.911499977111816
29,8.917394638061523
30,8.923351287841797
31,8.885719299316406
32,8.872572898864746
33,8.724494934082031
34,8.837162971496582
35,8.787959098815918
36,8.774068832397461
37,8.783256530761719
38,8.718375205993652
39,8.818601608276367
40,8.750597953796387
41,8.695405960083008
42,8.695589065551758
43,8.655536651611328
44,8.70026969909668
45,8.743398666381836
46,8.6082763671875
47,8.716838836669922
48,8.675180435180664
49,8.727762222290039
50,8.707606315612793
51,8.620072364807129
52,8.593481063842773
53,8.690802574157715
54,8.709953308105469
55,8.61512279510498
56,8.680936813354492
57,8.653009414672852
58,8.435115814208984
59,8.4788179397583
60,8.581664085388184
61,8.761341094970703
62,8.49438190460205
63,8.528609275817871
64,8.588118553161621
65,8.553537368774414
66,8.618284225463867
67,8.51578426361084
68,8.462241172790527
69,8.544891357421875
70,8.54780387878418
71,8.453323364257812
72,8.450892448425293
73,8.608022689819336
74,8.38393497467041
75,8.440738677978516
76,8.50112533569336
77,8.497016906738281
78,8.637314796447754
79,8.487326622009277
80,8.467269897460938
81,8.35184097290039
82,8.396206855773926
83,8.351232528686523
84,8.368988037109375
85,8.191588401794434
86,8.44398021697998
87,8.494288444519043
88,8.428948402404785
89,8.459646224975586
90,8.327258110046387
91,8.341154098510742
92,8.439539909362793
93,8.299088478088379
94,8.233184814453125
95,8.399988174438477
96,8.286025047302246
97,8.265954971313477
98,8.352028846740723
99,8.212265968322754
100,8.26301383972168
>>>>>>> origin/main
